Date,High,Low,Open,Close,Volume,Adj Close
2009-10-28,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-10-29,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-10-30,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-02,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-03,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-04,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-05,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-06,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-09,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-10,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-11,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-12,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-13,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-16,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-17,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-18,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-19,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-20,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-23,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-24,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-25,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-27,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-11-30,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-01,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-02,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-03,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-04,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-07,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-08,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-09,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-10,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-11,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-14,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-15,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-16,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-17,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-18,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-21,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-22,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-23,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-24,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-28,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-29,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-30,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2009-12-31,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-04,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-05,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-06,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-07,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-08,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-11,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-12,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-13,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-14,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-15,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-19,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-20,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-21,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-22,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-25,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-26,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-27,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-28,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-01-29,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-01,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-02,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-03,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-04,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-05,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-08,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-09,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-10,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-11,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-12,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-16,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-17,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-18,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-19,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-22,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-23,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-24,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-25,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-02-26,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-01,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-02,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-03,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-04,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-05,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-08,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-09,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-10,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-11,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-12,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-15,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-16,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-17,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-18,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-19,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-22,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-23,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-24,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-25,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-26,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-29,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-30,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-03-31,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-01,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-05,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-06,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-07,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-08,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-09,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-12,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-13,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-14,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-15,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-16,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-19,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-20,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-21,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-22,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-23,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-26,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-27,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-28,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-29,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-04-30,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-03,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-04,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-05,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-06,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-07,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-10,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-11,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-12,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-13,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-14,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-17,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-18,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-19,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-20,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-21,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-24,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-25,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-26,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-27,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-05-28,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-01,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-02,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-03,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-04,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-07,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-08,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-09,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-10,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-11,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-14,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-15,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-16,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-17,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-18,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-21,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-22,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-23,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-24,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-25,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-28,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-29,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-06-30,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-01,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-02,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-06,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-07,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-08,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-09,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-12,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-13,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-14,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-15,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-16,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,1200.0,6.314995765686035
2010-07-19,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-20,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-21,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-22,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-23,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-26,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-27,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-28,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-29,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-07-30,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-02,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-03,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-04,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-05,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-06,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-09,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-10,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-11,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-12,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-13,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-16,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-17,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-18,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-19,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-20,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-23,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-24,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-25,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
2010-08-26,6.533332824707031,6.533332824707031,6.533332824707031,6.533332824707031,0.0,6.314995765686035
